trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
670313,23:12:00,23:12:00,6248,6,,,,1
670313,23:15:00,23:15:00,5044,7,,,,1
670313,23:18:00,23:18:00,5045,8,,,,1
670313,23:19:00,23:19:00,6854,9,,,,1
670313,23:25:00,23:25:00,5046,10,,,,1
670313,23:32:00,23:32:00,5047,11,,,,1
670313,23:35:00,23:35:00,5048,12,,,,1
670314,23:45:00,23:45:00,5049,1,,,,1
670314,23:46:00,23:46:00,23509,2,,,,1
670314,23:48:00,23:48:00,5050,3,,,,1
670314,23:50:00,23:50:00,5042,4,,,,1
670314,23:51:00,23:51:00,5043,5,,,,1
670314,23:52:00,23:52:00,6248,6,,,,1
670314,23:55:00,23:55:00,5044,7,,,,1
670314,23:58:00,23:58:00,5045,8,,,,1
670314,23:59:00,23:59:00,6854,9,,,,1
670314,24:05:00,24:05:00,5046,10,,,,1
670314,24:12:00,24:12:00,5047,11,,,,1
670314,24:15:00,24:15:00,5048,12,,,,1
670315,00:25:00,00:25:00,5049,1,,,,1
670315,00:26:00,00:26:00,23509,2,,,,1
670318,19:50:00,19:50:00,5049,1,,,,1
670318,19:51:00,19:51:00,23509,2,,,,1
670318,19:53:00,19:53:00,5050,3,,,,1
670319,20:10:00,20:10:00,5049,1,,,,1
670319,20:11:00,20:11:00,23509,2,,,,1
670319,20:13:00,20:13:00,5050,3,,,,1
670320,20:32:00,20:32:00,5047,1,,,,1
670320,20:35:00,20:35:00,5048,2,,,,1
670320,20:44:00,20:44:00,5049,3,,,,1
670322,20:52:00,20:52:00,5047,1,,,,1
670322,20:55:00,20:55:00,5048,2,,,,1
670322,20:56:00,20:56:00,5049,3,,,,1
670324,16:35:00,16:35:00,5046,1,,,,1
670324,16:37:00,16:37:00,5047,2,,,,1
670324,16:40:00,16:40:00,5048,3,,,,1
670324,16:45:00,16:45:00,132600,4,,,,1
670324,16:46:00,16:46:00,5049,5,,,,1
661197,07:00:00,07:00:00,58343,1,,,,1
661197,07:01:00,07:01:00,63189,2,,,,1
